Gene symbol,Gene name,Synonyms,Chromosome,Ensembl Identifier,NCBI Identifier/Gene ID,Reference,Reference_title,Description,PMID
BdASR1,Abscisic stress-ripening protein,,2,Bradi2g61590,-,"Wang, Lianzhe et al. 2016",Identification of the ASR gene family from Brachypodium distachyon and functional characterization of BdASR1 in response to drought stress.,"BdASR1 enhances drought tolerance through the activation of antioxidant systems, including ROS-scavenging enzymes and non-enzymatic antioxidantsBdASR1 overexpression considerably enhanced drought tolerance in transgenic tobacco plants, which was accompanied by increased superoxide dismutase, catalase, and peroxidase activities, as well as an increased abundance of antioxidants such as ascorbate, tocopherols, and glutathione. ",26905726
BdASR4,Abscisic stress-ripening protein,,4,Bradi4g24650,-,"Yoon, Jin Seok et al. 2019","Over-expression of the Brachypodium ASR gene, BdASR4, enhances drought tolerance in Brachypodium distachyon.","Over-expression of BdASR4 was associated with strong drought tolerance, and plants over-expressing BdASR4 preserved more water and displayed higher antioxidant enzyme activities than did the wild-type plants. ",31134348
BdHD1,histone deacetylase,,3,Bradi3g08060,-,"Song, Jingpu et al. 2019",Brachypodium histone deacetylase BdHD1 positively regulates ABA and drought stress responses.,"BdHD1 is repressed by drought stress and ABA. Overexpressing BdHD1 leads to an ABA-hypersensitive phenotype and enhances drought tolerance. Knocking down BdHD1 causes an ABA-insensitive phenotype and reduces drought survival. Overexpression of BdHD1 leads to a decrease of H3K9ac, which represses expressions of drought responsive genes.",31128706
BdGATA13,GATA transcription factor,,2,Bradi2g45750,-,"Guo, Jie et al. 2021",Identification of GATA Transcription Factors in Brachypodium distachyon and Functional Characterization of BdGATA13 in Drought Tolerance and Response to Gibberellins.,"Overexpression of BdGATA13 in transgenic Arabidopsis resulted in darker green leaves, later flowering, and more importantly, enhanced drought tolerance compared to the wild type. ",34745195
BdBRI1,BRASSINOSTEROID INSENSITIVE 1,,2,Bradi2g48280/BRADI_2g48279,-,"Feng, Ying et al. 2015","Down-regulation of BdBRI1, a putative brassinosteroid receptor gene produces a dwarf phenotype with enhanced drought tolerance in Brachypodium distachyon.","BdBRI1 RNAi mutants exhibited enhanced drought tolerance, accompanied by highly elevated expression of drought-responsive genes, BdP5CS, BdCOR47/BdRD17, together with BdERD1 and BdRD26, two putative targets of the transcription factors BES1 and BZR1 that are key components of the BR signaling pathway. The loss-of-function BdBRI1-RNAi mutants exhibited reduced plant height, shortened internodes, narrow and short leaf, and reduced expression of BR signaling genes, BdBES1, BdBZR1, BdBLE2, and enhanced expression of BR biosynthesis genes BdD2, BdCPD and BdDWF4. ",25804819
BdPYL5 ,Pyrabactin resistance 1-like protein,,2,Bradi2g32250,-,"Chen, Shoukun et al. 2023",Identification of Pyrabactin resistance 1-like (PYL) genes in Brachypodium distachyon and functional characterization of BdPYL5.,Overexpression of BdPYL5 increases ABA sensitivity and enhanced osmotic and drought tolerance in Arabidopsis.,36842335
BdRFS ,egulator of Flowering and Stress,,4,Bd4g31140/Bradi4g31140,-,"Ying, Sheng et al. 2023",A stress-inducible protein regulates drought tolerance and flowering time in Brachypodium and Arabidopsis.,Overexpression of BdRFS in Brachypodium delays flowering and enhanced drought tolerance by reducing leaf water loss.,36264121
BdSnRK2.9,sucrose non-fermenting 1 (SNF1)-related protein kinase,,4,Bradi4g03220,-,"Wang, Lianzhe et al. 2015",Genome-wide analysis of SnRK gene family in Brachypodium distachyon and functional characterization of BdSnRK2.9.,Ectopic expression of BdSnRK2.9 in tobacco resulted in increased its tolerance to drought and salt stresses through activation of NtABF2.,26089150
BdCIPK31 ,Calcineurin B-like protein interacting protein kinase 31,,1,BRADI_1g17250v3,LOC100821473,"Luo, Qingchen et al. 2017","BdCIPK31, a Calcineurin B-Like Protein-Interacting Protein Kinase, Regulates Plant Response to Drought and Salt Stress.","Overexpression of BdCIPK31 Enhances Drought and Salt Stress Tolerance in Tobacco through ABA signaling pathway. Overexpressing BdCIPK31 functions in stomatal closure, ion homeostasis, ROS scavenging, osmolyte biosynthesis, and transcriptional regulation of stress-related genes.",28736568
BdGF14a ,G-box Factor 14-3-3,,3,Bradi3g38640,XM_003574615,"Yang, Li et al. 2017",Systematic analysis of the G-box Factor 14-3-3 gene family and functional characterization of GF14a in Brachypodium distachyon.,Transgenic Arabidopsis overexpressing BdGF14a exhibited increased leaf water content (LWC) and decreased electrolyte leakage (EL) and showed improved drought stress tolerance.,28575641
BdASR5,Abscisic stress-ripening protein,,5,Bradi5g10027,-,"Yoon, J.S., et al. 2024",BdASR5 positively regulates drought tolerance by mediating ABA signaling pathway in Brachypodium distachyon.,"Overexpression of BdASR5 resulted in higher relative water content and chlorophyll content, and lower ion leakage than WT plants under drought stress conditions. Moreover, overexpression of BdASR5 displayed increased antioxidant enzyme activity and upregulated expression of ROS-related, stress-related, and ABA-dependent pathway genes under drought stress condition. ",-
